title,main_story
Abandoned,0.8333333333333334
Abobo's Big Adventure,1.5
Abode,0.75
Abomination: The Nemesis Project,38.0
About Elise,1.0
"About Love, Hate and the other ones",5.0
About a Fox,0.08333333333333333
Absconding Zatwor,2.0
Absent,4.5
Absolute Drift,2.5
Absolutely: A True Crime Story,0.25
Abuse,5.5
Abyss,1.5
Abyss Odyssey,4.0
Abyss: The Wraiths of Eden,3.0
Academagia: The Making of Mages,14.5
Accel World vs. Sword Art Online,24.5
Acceleration of SUGURI 2,0.6333333333333333
Acceleration of Suguri X Edition,0.95
Access Denied,1.5
Accounting (2016),0.48333333333333334
Accounting Plus,1.0
Ace Attorney Investigations: Miles Edgeworth,23.0
Ace Combat 04: Shattered Skies,4.0
Ace Combat 2,3.5
Ace Combat 3: Electrosphere,4.5
Ace Combat 5: The Unsung War,7.0
Ace Combat 6: Fires of Liberation,10.5
Ace Combat 7: Skies Unknown,10.0
Ace Combat Advance,3.0
Ace Combat Infinity,4.0
Ace Combat X: Skies of Deception,4.0
Ace Combat Zero: The Belkan War,4.0
Ace Combat: Assault Horizon,8.5
Ace Combat: Assault Horizon - Enhanced Edition,8.5
Ace Combat: Assault Horizon Legacy,4.0
Ace Combat: Joint Assault,7.0
Ace Ventura: The CD-Rom Game,3.0
Ace of Seafood,3.5
Aces Wild: Manic Brawling Action!,2.5
Aces of the Galaxy,1.0
Aces of the Luftwaffe,10.5
Achievement Unlocked,0.25
Achievement Unlocked 2,0.9
Achievement Unlocked 3,2.5
Achron,70.0
Aconcagua,3.5
Acrobat Mission,0.75
Act of Aggression,13.0
Act of War: Direct Action,12.0
Act of War: High Treason,18.0
ActRaiser,5.0
ActRaiser 2,4.5
Action Bass,5.5
Action Doom 2: Urban Brawl,1.5
Action Henk,5.0
Action Man: Robot Atak,3.0
Activate the Three Artefacts and then Leave,3.0
Actual Crimes: Jack the ripper,2.0
Actual Sunlight,1.0
AdVenture Capitalist,33.0
AdVenture Communist,2.0
Adam Wolfe,5.5
Adam's Venture - Episode 1: The Search for the Lost Garden,1.5
Adam's Venture - Episode 2: Solomon's Secret,2.0
Adam's Venture - Episode 3: Revelations,2.0
Adam's Venture Chronicles,4.5
Adam's Venture: Origins,5.0
Adiboo & Paziral's Secret,0.6666666666666666
Adibou 2,5.0
Adolescent Santa Claus,0.31666666666666665
Adrift,4.5
Advance Guardian Heroes,3.0
Advance Wars,14.0
Advance Wars 2: Black Hole Rising,26.5
Advance Wars: Days of Ruin,19.5
Advance Wars: Dual Strike,24.5
Advanced Dungeons & Dragons: Heroes of the Lance,4.0
Advanced Dungeons & Dragons: Treasure of Tarmin,5.0
Advanced V.G.,0.38333333333333336
Advanced V.G. 2,3.5
Advent Rising,8.0
Adventure (1979),0.25
Adventure (1982),0.5
Adventure Bar Story,58.0
Adventure Chronicles: The Search For Lost Treasure,3.0
Adventure Island,0.9166666666666666
Adventure Island II,2.5
Adventure Island III,1.5
Adventure Island IV,2.0
Adventure Island: The Beginning,2.0
Adventure Park,5.0
Adventure Quest 3D,10.0
Adventure Time: Explore the Dungeon Because I Don't Know!,7.0
Adventure Time: Finn and Jake's Epic Quest,2.5
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!,5.0
Adventure Time: Magic Man's Head Games,0.5
Adventure Time: Pirates of the Enchiridion,6.5
Adventure Time: The Secret of the Nameless Kingdom,11.0
Adventure in the Tower of Flight,1.5
Adventurer Manager,14.0
Adventures Of Pip,5.0
Adventures in the Magic Kingdom,0.6666666666666666
Adventures of Bertram Fiddle: Episode 1 - A Dreadly Business,1.0
Adventures of Dino Riki,1.0
Adventures of Lolo,3.5
Adventures of Lolo 2,4.0
Adventures of Lolo 3,12.5
Adventures of Mana,9.5
Adventures of Max Fax: Episode 1,0.5666666666666667
Adventures of Mr. Heli,4.0
Adventures of Robinson Crusoe,2.0
Adventures of Yogi Bear,1.5
Adventures on the Polluted Islands,1.0
AdvertCity,4.0
Aegis Defenders,10.5
Aegis Wing,2.5
Aegis of Earth: Protonovus Assault,18.0
Aeon,3.5
Aeon Command,2.5
Aeon Flux,8.0
Aeon of Sands - The Trail,17.5
Aerannis,6.0
AereA,12.0
Aerial Assault,2.5
Aero Fighters,0.8166666666666667
Aero Fighters 2,0.8333333333333334
