title,appid,categories,genres,price,developer,publisher
Hunt: Showdown,594650.0,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Leaderboards,Remote Play on Tablet,Remote Play on TV",Action,$39.99,Crytek,Crytek
Hunt: Showdown (Test Server),770720.0,None,None,None,None,None
NEKOPARA Vol. 3,602520.0,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Casual,Indie",$9.99,NEKO WORKs,Sekai Project
Barotrauma,602960.0,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Action,Indie,Simulation,Strategy",$34.99,"FakeFish,Undertow Games",Daedalic Entertainment
The Elder Scrolls Online,306130.0,"Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support","Action,Adventure,Massively Multiplayer,RPG",$19.99,ZeniMax Online Studios,Bethesda Softworks
MORDHAU,629760.0,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Valve Anti-Cheat enabled,Stats,Remote Play on Phone,Remote Play on Tablet","Action,Indie",$29.99,Triternion,Triternion
Risk of Rain 2,632360.0,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie",$24.99,Hopoo Games,Gearbox Publishing
Slay the Spire,646570.0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Indie,Strategy",$24.99,Mega Crit Games,Mega Crit Games
Yet Another Zombie Defense HD,674750.0,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Remote Play on TV,Remote Play Together","Action,Indie",$0.39,Awesome Games Studio,Awesome Games Studio
Phasmophobia,739630.0,"Single-player,Multi-player,Co-op,Online Co-op,Full controller support,Tracked Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet","Action,Indie,Early Access",$13.99,Kinetic Games,Kinetic Games
